2011-1-12 9:41:29	 Ver:1.0.3.2	publicFilepath:E:\kcs\WebSite1\key\PublicKey.snk,privateFile:E:\kcs\WebSite1\key\PrivateKey.snk
2011-1-12 9:43:56	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094356RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:43:56	 Ver:1.0.3.2	signing data......


2011-1-12 9:43:56	 Ver:1.0.3.2	set key store


2011-1-12 9:43:56	 Ver:1.0.3.2	import parameters......


2011-1-12 9:43:56	 Ver:1.0.3.2	start signing.....


2011-1-12 9:43:57	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094357RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:43:57	 Ver:1.0.3.2	signing data......


2011-1-12 9:43:57	 Ver:1.0.3.2	set key store


2011-1-12 9:43:57	 Ver:1.0.3.2	import parameters......


2011-1-12 9:43:57	 Ver:1.0.3.2	start signing.....


2011-1-12 9:43:57	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094357RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:43:57	 Ver:1.0.3.2	signing data......


2011-1-12 9:43:57	 Ver:1.0.3.2	set key store


2011-1-12 9:43:57	 Ver:1.0.3.2	import parameters......


2011-1-12 9:43:57	 Ver:1.0.3.2	start signing.....


2011-1-12 9:43:57	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094357RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:43:57	 Ver:1.0.3.2	signing data......


2011-1-12 9:43:57	 Ver:1.0.3.2	set key store


2011-1-12 9:43:57	 Ver:1.0.3.2	import parameters......


2011-1-12 9:43:57	 Ver:1.0.3.2	start signing.....


2011-1-12 9:43:57	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094357RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:43:57	 Ver:1.0.3.2	signing data......


2011-1-12 9:43:57	 Ver:1.0.3.2	set key store


2011-1-12 9:43:57	 Ver:1.0.3.2	import parameters......


2011-1-12 9:43:57	 Ver:1.0.3.2	start signing.....


2011-1-12 9:44:05	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094405RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:44:05	 Ver:1.0.3.2	signing data......


2011-1-12 9:44:05	 Ver:1.0.3.2	set key store


2011-1-12 9:44:05	 Ver:1.0.3.2	import parameters......


2011-1-12 9:44:05	 Ver:1.0.3.2	start signing.....


2011-1-12 9:44:19	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094419RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:44:19	 Ver:1.0.3.2	signing data......


2011-1-12 9:44:19	 Ver:1.0.3.2	set key store


2011-1-12 9:44:19	 Ver:1.0.3.2	import parameters......


2011-1-12 9:44:19	 Ver:1.0.3.2	start signing.....


2011-1-12 9:45:54	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094554RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:45:54	 Ver:1.0.3.2	signing data......


2011-1-12 9:45:54	 Ver:1.0.3.2	set key store


2011-1-12 9:45:54	 Ver:1.0.3.2	import parameters......


2011-1-12 9:45:54	 Ver:1.0.3.2	start signing.....


2011-1-12 9:45:55	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094555RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:45:55	 Ver:1.0.3.2	signing data......


2011-1-12 9:45:55	 Ver:1.0.3.2	set key store


2011-1-12 9:45:55	 Ver:1.0.3.2	import parameters......


2011-1-12 9:45:55	 Ver:1.0.3.2	start signing.....


2011-1-12 9:45:56	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094556RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:45:56	 Ver:1.0.3.2	signing data......


2011-1-12 9:45:56	 Ver:1.0.3.2	set key store


2011-1-12 9:45:56	 Ver:1.0.3.2	import parameters......


2011-1-12 9:45:56	 Ver:1.0.3.2	start signing.....


2011-1-12 9:45:59	 Ver:1.0.3.2	Preparing for Signing,origin string:3.02.00DD20101221928399710919测试14604http://win11:100/PostBack.aspxhttp://win11:100/Notify.aspxhttp://win11:100/SendOrder.aspx20110112094559RMBhttp1123456这是产品描述的具体内容Remark1TextRemark2Texticbc04http://win11:100/SendOrder.aspx

2011-1-12 9:45:59	 Ver:1.0.3.2	signing data......


2011-1-12 9:45:59	 Ver:1.0.3.2	set key store


2011-1-12 9:45:59	 Ver:1.0.3.2	import parameters......


2011-1-12 9:45:59	 Ver:1.0.3.2	start signing.....


